"code_video","maxview","channelsubscribercount","channelvideocount","commentcount","likecount","dislikecount","mintimewithmaxview","year","month","day","hour","minutes","seconds"
"Twi2wLRDXd8",686,496234.235649546828,58362.238670694864,2.0000000000000000,6.6525679758308157,1.00000000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"x5qknQtO3HY",303163,3519859.876132930514,31336.015105740181,1909.8459214501510574,4561.4682779456193353,477.0755287009063444,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"QafROp2S_Is",1087,141125.870090634441,27953.712990936556,4.0000000000000000,15.3685800604229607,0E-20,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"OAPTUMCU8jc",2228,496229.319277108434,58362.114457831325,41.7439759036144578,26.0000000000000000,12.4909638554216867,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"4ph5wkdnnks",79804,778854.311526479751,43759.426791277259,293.3302180685358255,426.9252336448598131,98.0373831775700935,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"JWxjUrLFA_U",1736,778850.219135802469,43759.361111111111,129.1018518518518519,74.5524691358024691,11.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"e2SVVjea9OQ",5263,778815.270700636943,43758.149681528662,58.6242038216560510,46.0000000000000000,14.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"Es9hQUkIrEM",3885,141126.689969604863,27953.623100303951,30.2887537993920973,142.0000000000000000,17.2735562310030395,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"s0BwLARpqVE",3916,778884.659574468085,43760.237082066869,73.3981762917933131,185.7963525835866261,2.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"XDqauBfwQww",832,748324.073170731707,112933.185975609756,0E-20,21.0000000000000000,4.0000000000000000,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"lgHS5FZnJYQ",10804,496231.875757575758,58362.157575757576,39.7848484848484848,33.3606060606060606,26.8575757575757576,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
"e03rTkt8eBs",42425,3519855.314199395770,31336.015105740181,956.1148036253776435,1375.3474320241691843,549.6344410876132931,"2017-12-22 07:38:57.000000",2017,12,22,7,38,57
